 Image,RA,DEC,Simple,Dust strip,Bulge,Overlap,Irregular,X-type,Interacting
,164.93822,17.65043,1,0,-1,1,-1,-1,-1
,344.20397,-8.97081,-1,1,1,1,-1,-1,-1
,344.00746,12.76645,-1,1,0,-1,-1,1,-1
,236.37072,26.60305,-1,1,1,-1,-1,1,-1
,148.33428,0.69774,-1,1,1,-1,-1,0,-1
,217.72680,1.27764,-1,1,0,-1,-1,-1,-1
,349.4782,22.75278,-1,1,-1,-1,0,-1,-1
,352.05355,27.68941,-1,1,1,-1,-1,-1,-1
,350.62813,11.89211,-1,1,1,-1,-1,-1,-1
,40.19403,1.34307,-1,1,1,-1,-1,-1,-1
,211.21412,10.80858,-1,0,1,-1,-1,-1,-1
,123.48850,52.64846,-1,1,1,-1,-1,-1,-1
,342.02712,28.29270,-1,1,1,-1,-1,1,-1
,329.53163,1.00948,-1,1,-1,-1,-1,-1,-1
,113.91132,66.41424,-1,1,-1,-1,-1,1,-1
,40.88555,31.78654,-1,1,-1,-1,-1,-1,-1
,67.24822,-9.11307,-1,1,1,-1,-1,0,-1
,339.88373,8.61286,-1,1,1,-1,-1,1,-1
,136.30504,-0.49663,-1,1,0,-1,-1,-1,-1
,27.35350,21.99736,-1,1,1,-1,-1,-1,-1
,21.34959,31.49341,-1,1,1,-1,-1,0,-1
,185.42483,14.59907,-1,1,-1,-1,-1,0,-1
,96.48167,64.74076,-1,1,1,-1,0,-1,-1
,52.53972,-5.52164,-1,1,-1,0,-1,-1,0
-5.52164,8.12877,2.57476,1,-1,-1,-1,-1,-1,-1
,2.60945,28.98825,-1,1,-1,-1,-1,0,-1
,192.41739,15.17642,-1,1,-1,-1,-1,1,-1
,38.22448,23.32736,-1,1,-1,-1,1,-1,-1
,195.53101,58.69820,1,-1,-1,-1,-1,-1,-1
,300.49670,59.57033,-1,1,1,-1,-1,-1,-1
,182.95725,1.71643,-1,1,1,-1,-1,-1,-1
,340.39243,1.07104,-1,1,-1,-1,-1,1,-1
,51.46771,40.74864,-1,1,-1,-1,-1,1,-1
,340.06267,19.02598,-1,1,1,-1,-1,-1,-1
,179.85166,-0.41097,-1,1,-1,-1,-1,-1,-1
,345.72357,26.01480,-1,1,-1,-1,1,-1,-1
,308.84921,-6.24577,-1,1,0,-1,-1,-1,-1
,183.83397,-0.39805,1,-1,-1,-1,-1,-1,-1
,349.24515,3.70977,-1,1,0,-1,-1,0,-1
,65.27671,37.07980,-1,1,1,-1,-1,1,-1
,221.23298,1.95500,-1,1,1,-1,-1,1,-1
,0.81134,16.14485,-1,1,1,-1,-1,0,-1
,46.88810,18.41920,-1,1,-1,-1,-1,1,-1
,156.62179,20.23355,-1,1,-1,-1,-1,1,-1
,237.17127,21.86910,-1,1,1,-1,-1,-1,-1
,344.18303,1.85805,-1,1,1,-1,-1,-1,-1
,50.52096,42.17514,1,-1,-1,-1,-1,-1,-1
,6.44870, -2.28455,-1,1,0,-1,0,-1,-1
,210.17935, -12.36987,-1,1,1,-1,-1,-1,-1
,2.17760,37.44733,-1,1,1,-1,-1,1,-1
,353.93178,32.38507,-1,-1,-1,-1,1,-1,-1
,320.07330,-1.68439,-1,1,0,-1,-1,-1,-1
,130.81658,13.08663,-1,1,1,-1,-1,-1,-1
,244.75772,15.76386,-1,1,-1,-1,-1,-1,-1
,185.63901,1.02034,-1,1,1,-1,-1,1,-1
,151.12292,14.76920,-1,1,1,-1,-1,-1,-1
,20.57866,6.47781,-1,1,1,-1,-1,0,-1
,223.96831,24.71975,-1,1,1,0,-1,-1,-1
,0.23314,20.33832,-1,1,1,-1,-1,-1,-1
,0.81134,16.14485,-1,1,1,-1,-1,0,-1
,9.66574,17.40310,-1,1,1,-1,-1,1,-1
,145.38476,11.41340,-1,1,1,-1,-1,0,-1
,339.88365,8.61287,-1,1,1,-1,-1,1,-1
,351.00591,20.68696,-1,1,1,-1,-1,1,-1
,324.35520,-7.14913,1,0,-1,-1,-1,-1,-1
,48.82503,42.18275,-1,1,1,-1,-1,-1,-1
,71.65550,0.62105,-1,1,-1,-1,-1,-1,-1
,352.83364,9.20761,-1,1,-1,-1,-1,-1,-1
,333.32087,16.49456,-1,1,1,-1,-1,0,-1
,5.16690,6.87335,-1,1,-1,-1,-1,0,-1
